"","Country","iso3","voice2016","absViolence2016","govEffect2016","regQual2016","ruloLaw2016","contCorrup2016"
"58","Colombia","COL","0.12077225744724274","-0.88245934247970581","1.5444259159266949E-2","0.4020092785358429","-0.27879753708839417","-0.32425165176391602"
"59","Comoros","COM","-0.25193008780479431","3.5759903490543365E-2","-1.5527751445770264","-1.0495561361312866","-0.99850928783416748","-0.66586816310882568"
"60","Cape Verde","CPV","0.97555243968963623","0.88621562719345093","0.12505002319812775","-0.296039879322052","0.34744316339492798","0.86890560388565063"
"61","Costa Rica","CRI","1.1175278425216675","0.66142833232879639","0.35546800494194031","0.40743365883827209","0.46604266762733459","0.74423778057098389"
"62","Cuba","CUB","-1.5601963996887207","0.68536388874053955","-0.10497868806123734","-1.3387032747268677","-0.44236236810684204","0.16913871467113495"
"63","Cayman Islands","CYM","0.47488027811050415","1.1684963703155518","1.1822258234024048","0.78734850883483887","0.79743647575378418","0.52899301052093506"
"64","Cyprus","CYP","1.0465773344039917","0.60425472259521484","0.96094310283660889","1.0526260137557983","0.721343994140625","0.82664632797241211"
"65","Czech Republic","CZE","1.0247687101364136","0.97611552476882935","1.0367394685745239","0.9864010214805603","1.0355017185211182","0.53675723075866699"
"66","Germany","DEU","1.3637803792953491","0.68136340379714966","1.7345681190490723","1.8170156478881836","1.6220163106918335","1.843417763710022"
"67","Djibouti","DJI","-1.3725326061248779","-0.6264004111289978","-0.97396254539489746","-0.7000201940536499","-0.97592735290527344","-0.65348023176193237"
"68","Dominica","DMA","0.89939582347869873","1.0024377107620239","5.437898263335228E-2","0.1990751177072525","0.60637354850769043","0.62496709823608398"
"69","Denmark","DNK","1.5413569211959839","0.86791545152664185","1.8760539293289185","1.575407862663269","1.9123853445053101","2.2305908203125"
"70","Dominican Republic","DOM","0.18061743676662445","0.25210604071617126","-0.26371133327484131","-6.5245024859905243E-2","-0.39514949917793274","-0.75637614727020264"
"71","Algeria","DZA","-0.86316913366317749","-1.0975257158279419","-0.53115969896316528","-1.1718788146972656","-0.85740095376968384","-0.67789250612258911"
"72","Ecuador","ECU","-0.24847292900085449","-8.535795658826828E-2","-0.43031299114227295","-1.0184543132781982","-0.76125335693359375","-0.68032634258270264"
"73","Egypt, Arab Rep.","EGY","-1.2072643041610718","-1.4376965761184692","-0.65954583883285522","-0.92318969964981079","-0.51730060577392578","-0.64472448825836182"
"74","Eritrea","ERI","-2.1727035045623779","-0.65691208839416504","-1.6961038112640381","-2.1868226528167725","-1.6250622272491455","-1.3067097663879395"
"75","Spain","ESP","1.0410457849502563","0.41318827867507935","1.1158421039581299","1.0086036920547485","0.97882479429244995","0.51563054323196411"
"76","Estonia","EST","1.2079842090606689","0.67390775680541992","1.090856671333313","1.6981420516967773","1.2263580560684204","1.2723453044891357"
"77","Ethiopia","ETH","-1.4036623239517212","-1.6198132038116455","-0.63835614919662476","-1.101312518119812","-0.49234876036643982","-0.41703677177429199"
"78","Finland","FIN","1.5317293405532837","0.99908649921417236","1.8289077281951904","1.8174076080322266","2.0152137279510498","2.239527702331543"
"79","Fiji","FJI","2.6981228962540627E-2","0.91781497001647949","-0.24881325662136078","-0.37709841132164001","-0.27447015047073364","0.13029195368289948"
"80","France","FRA","1.1355739831924438","-9.5359116792678833E-2","1.40525221824646","1.07032310962677","1.4130818843841553","1.400143027305603"
"81","Micronesia, Fed. Sts.","FSM","1.1475342512130737","1.0575821399688721","-0.33495402336120605","-0.96611630916595459","-5.0772778689861298E-2","0.65459519624710083"
"82","Gabon","GAB","-0.96958905458450317","-0.10491097718477249","-0.79206323623657227","-0.79791039228439331","-0.60455214977264404","-0.75331127643585205"
"83","United Kingdom","GBR","1.2946361303329468","0.36045405268669128","1.6016182899475098","1.7607086896896362","1.6915069818496704","1.8989766836166382"
"84","Georgia","GEO","0.29372623562812805","-0.31329149007797241","0.51824814081192017","1.0086610317230225","0.38366097211837769","0.68535339832305908"
"85","Ghana","GHA","0.58360558748245239","-0.13092862069606781","-0.16831095516681671","-0.23250968754291534","4.8785779625177383E-2","-0.14901463687419891"
"86","Guinea","GIN","-0.76168602705001831","-0.39387482404708862","-1.0058602094650269","-0.86767369508743286","-1.2160677909851074","-0.91895908117294312"
"87","Gambia, The","GMB","-1.2619493007659912","-0.43441230058670044","-0.84194332361221313","-0.50932466983795166","-0.77446812391281128","-0.81204479932785034"
"88","Guinea-Bissau","GNB","-0.73456287384033203","-0.44269385933876038","-1.6429979801177979","-1.235826849937439","-1.4868019819259644","-1.5522993803024292"
"89","Equatorial Guinea","GNQ","-1.9525450468063354","-0.14086863398551941","-1.4079926013946533","-1.3802393674850464","-1.5158510208129883","-1.805882453918457"
"90","Greece","GRC","0.66849511861801147","-0.12159917503595352","0.22667780518531799","0.14838685095310211","0.1073458343744278","-9.2085711658000946E-2"
"91","Grenada","GRD","0.81703567504882812","1.0189324617385864","-0.17501646280288696","8.4024965763092041E-2","0.56896489858627319","0.56389349699020386"
"92","Greenland","GRL","1.2793039083480835","1.9650615453720093","0.84288269281387329","1.3346858024597168","1.7236003875732422","1.1670714616775513"
"93","Guatemala","GTM","-0.29188889265060425","-0.54259264469146729","-0.60639333724975586","-0.20243154466152191","-1.0198415517807007","-0.73982125520706177"
"94","French Guiana","GUF","1.2793039083480835","0.5509570837020874","1.1278562545776367","1.4288026094436646","1.3083679676055908","0.97504401206970215"
"96","Guyana","GUY","0.25353905558586121","-2.6062663644552231E-2","-0.30152425169944763","-0.41651624441146851","-0.30911359190940857","-0.32455241680145264"
"97","Hong Kong SAR, China","HKG","0.37720924615859985","0.75080710649490356","1.8421443700790405","2.1538867950439453","1.7228528261184692","1.5616865158081055"
"98","Honduras","HND","-0.43969917297363281","-0.43331211805343628","-0.72635036706924438","-0.51302802562713623","-1.1187045574188232","-0.65777450799942017"
"99","Croatia","HRV","0.52451694011688232","0.66376948356628418","0.49428680539131165","0.35627833008766174","0.40917614102363586","0.20333077013492584"
"100","Haiti","HTI","-0.75944733619689941","-0.74378806352615356","-2.0784919261932373","-1.2383120059967041","-1.0019965171813965","-1.3316276073455811"
"101","Hungary","HUN","0.40125232934951782","0.65467864274978638","0.46430164575576782","0.60342192649841309","0.42305836081504822","9.7243495285511017E-2"
"102","Indonesia","IDN","0.16667854785919189","-0.37295243144035339","7.6384926214814186E-3","-0.12234385311603546","-0.34475120902061462","-0.39932668209075928"
"103","India","IND","0.44018736481666565","-0.95383983850479126","7.5183220207691193E-2","-0.30650502443313599","-2.8877168893814087E-2","-0.28225764632225037"
"104","Ireland","IRL","1.2909750938415527","0.84781885147094727","1.3316208124160767","1.7409651279449463","1.5172436237335205","1.5833563804626465"
"105","Iran, Islamic Rep.","IRN","-1.3430749177932739","-0.81307542324066162","-0.19141444563865662","-1.2293685674667358","-0.67901521921157837","-0.71138840913772583"
"106","Iraq","IRQ","-1.0167858600616455","-2.3135876655578613","-1.267530083656311","-1.1250684261322021","-1.6255947351455688","-1.386965274810791"
"107","Iceland","ISL","1.3560513257980347","1.3616238832473755","1.3857320547103882","1.2768465280532837","1.5195448398590088","1.9494936466217041"
"108","Israel","ISR","0.78660303354263306","-0.79453635215759277","1.3454877138137817","1.3126295804977417","1.0721762180328369","1.1868088245391846"
"109","Italy","ITA","1.0339932441711426","0.36941531300544739","0.5347704291343689","0.71059185266494751","0.32915991544723511","8.440680056810379E-2"
"110","Jamaica","JAM","0.68126094341278076","0.30768394470214844","0.41220429539680481","0.16384337842464447","-0.20327040553092957","-0.15906159579753876"
"111","Jordan","JOR","-0.71300679445266724","-0.49239838123321533","0.13379023969173431","5.1679495722055435E-2","0.30430009961128235","0.26529330015182495"
"112","Japan","JPN","0.98790472745895386","0.98294419050216675","1.822037935256958","1.4281220436096191","1.4209917783737183","1.5249577760696411"
"113","Kazakhstan","KAZ","-1.2075520753860474","8.4574827924370766E-3","-6.7045323550701141E-2","-9.970073401927948E-2","-0.4350888729095459","-0.81671708822250366"
"114","Kenya","KEN","-0.11544310301542282","-1.3547910451889038","-0.32493796944618225","-0.30032971501350403","-0.44055166840553284","-0.89278984069824219"
"115","Kyrgyz Republic","KGZ","-0.420299232006073","-0.64686191082000732","-0.89562076330184937","-0.35263210535049438","-1.0228581428527832","-1.0793067216873169"
"116","Cambodia","KHM","-1.1069366931915283","0.21103785932064056","-0.69411396980285645","-0.46522039175033569","-1.0636622905731201","-1.2729175090789795"
"117","Kiribati","KIR","1.0048456192016602","0.87323606014251709","-0.43382063508033752","-0.8390459418296814","0.23635442554950714","0.2495243102312088"
"118","St. Kitts and Nevis","KNA","1.0065346956253052","0.62633073329925537","0.14160087704658508","0.36802798509597778","0.50548082590103149","0.51392161846160889"
"119","Korea, Rep.","KOR","0.6407209038734436","0.16346895694732666","1.0640420913696289","1.1143251657485962","1.1608361005783081","0.45691260695457458"
"120","Kuwait","KWT","-0.62896335124969482","-4.9683164805173874E-2","-0.16353274881839752","-7.3881961405277252E-2","2.7930332347750664E-2","-0.26820740103721619"
"121","Lao PDR","LAO","-1.7592438459396362","0.53229129314422607","-0.39820823073387146","-0.72486811876296997","-0.79582452774047852","-0.95244687795639038"
"122","Lebanon","LBN","-0.52042847871780396","-1.6189726591110229","-0.5385097861289978","-0.34316152334213257","-0.83049684762954712","-0.96520113945007324"
"123","Liberia","LBR","-0.10750831663608551","-0.43740776181221008","-1.2789309024810791","-0.94849342107772827","-0.94515937566757202","-0.72161543369293213"
"124","Libya","LBY","-1.4297691583633423","-2.283329963684082","-1.8919289112091064","-2.2744607925415039","-1.8166943788528442","-1.6266858577728271"
"125","St. Lucia","LCA","1.0126564502716064","1.0189324617385864","2.8124617412686348E-2","0.2904059886932373","0.51697105169296265","0.63055753707885742"
"126","Liechtenstein","LIE","1.2502906322479248","1.4779268503189087","1.7058489322662354","1.3725981712341309","1.688664436340332","2.0427041053771973"
"127","Sri Lanka","LKA","-8.2130551338195801E-2","-4.0295356884598732E-3","-2.6169471442699432E-2","-0.10003569722175598","0.11059160530567169","-0.31072944402694702"
"128","Lesotho","LSO","3.3744823187589645E-2","-0.23646517097949982","-0.80185908079147339","-0.38758987188339233","-0.16829079389572144","-2.252616174519062E-2"
"129","Lithuania","LTU","0.99996984004974365","0.82827997207641602","1.0700654983520508","1.1362185478210449","1.0293581485748291","0.71383607387542725"
"130","Luxembourg","LUX","1.5002105236053467","1.4194847345352173","1.6923457384109497","1.7220793962478638","1.760356068611145","2.0968537330627441"
"131","Latvia","LVA","0.84248983860015869","0.47906923294067383","1.0052641630172729","1.0802433490753174","0.95898258686065674","0.4311383068561554"
"132","Kosovo","KSV","-0.14882056415081024","-0.28240695595741272","-0.41730821132659912","-0.18886877596378326","-0.35017669200897217","-0.41474413871765137"
"133","Macao SAR, China","MAC","-6.1402179300785065E-2","1.4170615673065186","1.1822258234024048","1.7814769744873047","0.85573917627334595","0.84618538618087769"
"134","Morocco","MAR","-0.6263163685798645","-0.31257346272468567","-0.10620135813951492","-0.23495045304298401","-0.15831263363361359","-0.12971501052379608"
