DepaProvDIST,idh,esperanza,secundaria,tiempoedu,percapitaf
CAJAMARCA_JAEN_POMAHUACA,0.27,78.65,12.42,5.14,335.90
CAJAMARCA_JAEN_PUCARA,0.42,74.95,35.25,6.88,652.10
CAJAMARCA_JAEN_SALLIQUE,0.19,79.16,23.29,4.15,137.20
CAJAMARCA_JAEN_SAN FELIPE,0.27,75.33,25.40,4.95,271.60
CAJAMARCA_JAEN_SAN JOSE DEL ALTO,0.26,74.59,25.55,5.33,250.00
CAJAMARCA_JAEN_SANTA ROSA,0.26,74.46,23.75,5.15,254.20
CAJAMARCA_SAN IGNACIO_CHIRINOS,0.30,75.29,31.28,5.40,315.40
CAJAMARCA_SAN IGNACIO_HUARANGO,0.27,73.79,27.23,5.11,277.50
CAJAMARCA_SAN IGNACIO_LA COIPA,0.29,77.95,31.69,5.02,278.10
CAJAMARCA_SAN IGNACIO_NAMBALLE,0.28,73.19,43.29,5.79,237.50
CAJAMARCA_SAN IGNACIO_SAN IGNACIO,0.37,75.22,41.15,6.41,442.30
CAJAMARCA_SAN IGNACIO_SAN JOSE DE LOURDES,0.26,74.60,22.04,5.04,263.10
CAJAMARCA_SAN IGNACIO_TABACONAS,0.22,77.70,28.18,4.77,158.00
CAJAMARCA_SAN MARCOS_CHANCAY,0.18,73.72,17.55,3.81,153.70
CAJAMARCA_SAN MARCOS_EDUARDO VILLANUEVA,0.31,68.26,44.92,5.42,339.70
CAJAMARCA_SAN MARCOS_GREGORIO PITA,0.19,71.93,19.69,3.79,155.90
CAJAMARCA_SAN MARCOS_ICHOCAN,0.28,68.66,29.71,5.80,291.90
CAJAMARCA_SAN MARCOS_JOSE MANUEL QUIROZ,0.18,74.32,12.03,3.61,173.50
CAJAMARCA_SAN MARCOS_JOSE SABOGAL,0.13,67.91,9.17,3.06,113.40
CAJAMARCA_SAN MARCOS_PEDRO GALVEZ,0.35,68.30,38.27,6.48,437.50
CAJAMARCA_SAN MIGUEL_BOLIVAR,0.31,75.81,23.97,6.20,348.30
CAJAMARCA_SAN MIGUEL_CALQUIS,0.24,74.08,31.73,4.49,200.70
CAJAMARCA_SAN MIGUEL_CATILLUC,0.23,77.99,31.57,4.64,161.90
CAJAMARCA_SAN MIGUEL_EL PRADO,0.26,74.00,33.45,5.05,227.30
CAJAMARCA_SAN MIGUEL_LA FLORIDA,0.39,74.83,68.97,6.08,407.70
CAJAMARCA_SAN MIGUEL_LLAPA,0.23,77.26,21.10,4.50,201.10
CAJAMARCA_SAN MIGUEL_NANCHOC,0.36,75.16,36.51,6.48,426.90
CAJAMARCA_SAN MIGUEL_NIEPOS,0.26,74.76,34.81,5.72,201.30
CAJAMARCA_SAN MIGUEL_SAN GREGORIO,0.30,74.66,23.36,5.45,352.80
CAJAMARCA_SAN MIGUEL_SAN MIGUEL,0.30,72.87,29.03,5.32,331.20
CAJAMARCA_SAN MIGUEL_SAN SILVESTRE DE COCHAN,0.24,74.89,20.31,4.86,241.70
CAJAMARCA_SAN MIGUEL_TONGOD,0.27,73.61,33.19,5.34,234.60
CAJAMARCA_SAN MIGUEL_UNION AGUA BLANCA,0.28,74.06,33.45,5.14,272.10
CAJAMARCA_SAN PABLO_SAN BERNARDINO,0.21,67.87,13.33,4.09,253.30
CAJAMARCA_SAN PABLO_SAN LUIS,0.21,66.94,8.13,5.01,292.80
CAJAMARCA_SAN PABLO_SAN PABLO,0.28,65.62,27.10,5.63,334.70
CAJAMARCA_SAN PABLO_TUMBADEN,0.20,68.11,33.90,4.29,140.40
CAJAMARCA_SANTA CRUZ_ANDABAMBA,0.29,73.78,51.74,5.94,229.40
CAJAMARCA_SANTA CRUZ_CATACHE,0.29,70.11,37.39,5.51,296.00
CAJAMARCA_SANTA CRUZ_CHANCAYBANOS,0.25,67.83,39.53,4.83,220.90
CAJAMARCA_SANTA CRUZ_LA ESPERANZA,0.28,70.87,51.12,4.85,240.60
CAJAMARCA_SANTA CRUZ_NINABAMBA,0.31,69.09,52.95,6.15,287.00
CAJAMARCA_SANTA CRUZ_PULAN,0.25,73.42,30.52,5.26,216.40
CAJAMARCA_SANTA CRUZ_SANTA CRUZ,0.40,71.38,52.36,7.40,484.60
CAJAMARCA_SANTA CRUZ_SAUCEPAMPA,0.23,71.30,43.54,4.56,163.10
CAJAMARCA_SANTA CRUZ_SEXI,0.37,74.26,66.67,6.91,340.00
CAJAMARCA_SANTA CRUZ_UTICYACU,0.30,69.21,28.13,5.54,354.10
CAJAMARCA_SANTA CRUZ_YAUYUCAN,0.24,72.08,47.83,4.81,174.70
CALLAO_CALLAO_BELLAVISTA,0.68,79.82,86.15,12.38,1109.40
CALLAO_CALLAO_CALLAO,0.61,79.89,78.91,11.20,860.70
CALLAO_CALLAO_CARMEN DE LA LEGUA REYNOSO,0.60,79.45,79.99,10.64,857.60
CALLAO_CALLAO_LA PERLA,0.70,79.32,87.20,12.55,1164.70
CALLAO_CALLAO_LA PUNTA,0.76,79.19,87.27,13.23,1484.90
CALLAO_CALLAO_VENTANILLA,0.53,78.53,73.32,10.47,655.10
CUSCO_ACOMAYO_ACOMAYO,0.28,57.87,41.31,5.58,337.80
CUSCO_ACOMAYO_ACOPIA,0.20,62.69,47.54,5.15,122.00
CUSCO_ACOMAYO_ACOS,0.24,59.44,26.72,4.49,298.80
CUSCO_ACOMAYO_MOSOC LLACTA,0.25,55.27,54.47,5.94,215.20
CUSCO_ACOMAYO_POMACANCHI,0.23,58.94,44.36,5.16,208.80
CUSCO_ACOMAYO_RONDOCAN,0.14,58.57,20.60,3.92,103.70
CUSCO_ACOMAYO_SANGARARA,0.26,59.06,42.29,4.95,277.80
CUSCO_ANTA_ANCAHUASI,0.21,75.37,40.56,4.81,123.00
CUSCO_ANTA_ANTA,0.37,71.57,61.63,7.14,375.50
CUSCO_ANTA_CACHIMAYO,0.46,72.85,71.79,8.44,546.40
CUSCO_ANTA_CHINCHAYPUJIO,0.17,74.00,17.72,4.28,118.50
CUSCO_ANTA_HUAROCONDO,0.27,76.54,29.15,5.10,257.60
CUSCO_ANTA_LIMATAMBO,0.29,69.85,37.92,5.51,303.00
CUSCO_ANTA_MOLLEPATA,0.36,71.88,56.23,5.70,415.20
CUSCO_ANTA_PUCYURA,0.33,76.52,42.66,6.83,292.00
CUSCO_ANTA_ZURITE,0.35,72.97,60.31,6.96,315.40
CUSCO_CALCA_CALCA,0.38,69.55,51.00,7.55,451.40
CUSCO_CALCA_COYA,0.28,69.81,53.71,5.59,223.40
CUSCO_CALCA_LAMAY,0.26,74.67,32.94,4.99,225.60
CUSCO_CALCA_LARES,0.16,68.23,20.69,3.72,121.20
CUSCO_CALCA_PISAC,0.35,75.40,45.14,5.98,369.90
CUSCO_CALCA_SAN SALVADOR,0.22,72.37,30.02,4.16,182.20
CUSCO_CALCA_TARAY,0.34,77.65,53.38,5.76,332.70
CUSCO_CALCA_YANATILE,0.29,70.77,22.22,5.73,354.90
CUSCO_CANAS_CHECCA,0.17,63.40,34.65,4.80,108.10
CUSCO_CANAS_KUNTURKANKI,0.24,58.74,36.34,5.35,237.20
CUSCO_CANAS_LANGUI,0.28,63.71,59.56,5.71,247.70
CUSCO_CANAS_LAYO,0.22,62.31,34.60,5.30,178.40
CUSCO_CANAS_PAMPAMARCA,0.28,60.31,58.93,6.34,250.20
CUSCO_CANAS_QUEHUE,0.21,63.88,33.94,4.71,176.30
CUSCO_CANAS_TUPAC AMARU,0.18,57.56,15.09,4.59,200.50
CUSCO_CANAS_YANAOCA,0.26,59.99,49.48,5.83,238.30
CUSCO_CANCHIS_CHECACUPE,0.30,72.49,50.23,5.60,254.10
CUSCO_CANCHIS_COMBAPATA,0.31,74.95,66.69,5.94,244.00
CUSCO_CANCHIS_MARANGANI,0.30,75.21,52.93,5.61,255.90
CUSCO_CANCHIS_PITUMARCA,0.21,73.29,22.23,3.87,194.80
CUSCO_CANCHIS_SAN PABLO,0.29,72.23,46.24,5.26,264.80
CUSCO_CANCHIS_SAN PEDRO,0.31,70.53,64.35,6.31,240.10
CUSCO_CANCHIS_SICUANI,0.46,74.57,66.94,8.44,559.70
CUSCO_CANCHIS_TINTA,0.38,73.46,58.95,6.86,396.80
CUSCO_CHUMBIVILCAS_CAPACMARCA,0.16,67.31,5.99,3.96,195.80
CUSCO_CHUMBIVILCAS_CHAMACA,0.18,67.21,28.95,5.03,121.40
CUSCO_CHUMBIVILCAS_COLQUEMARCA,0.22,72.65,33.72,4.52,168.70
CUSCO_CHUMBIVILCAS_LIVITACA,0.19,66.49,32.49,4.59,129.50
CUSCO_CHUMBIVILCAS_LLUSCO,0.15,67.74,17.97,3.41,118.00
CUSCO_CHUMBIVILCAS_QUINOTA,0.17,69.87,27.84,3.96,116.00
CUSCO_CHUMBIVILCAS_SANTO TOMAS,0.25,66.57,35.81,5.09,238.00
CUSCO_CHUMBIVILCAS_VELILLE,0.24,64.02,26.63,5.41,230.60
CUSCO_CUSCO_CCORCA,0.16,67.67,15.18,3.20,155.50
CUSCO_CUSCO_CUSCO,0.61,73.87,80.46,11.47,955.20
CUSCO_CUSCO_POROY,0.43,71.55,69.41,7.36,525.30
CUSCO_CUSCO_SAN JERONIMO,0.60,76.84,73.01,10.44,941.40
CUSCO_CUSCO_SAN SEBASTIAN,0.61,75.69,76.87,10.86,983.60
CUSCO_CUSCO_SANTIAGO,0.57,75.82,73.14,10.18,868.90
CUSCO_CUSCO_SAYLLA,0.46,76.16,69.12,8.94,521.00
CUSCO_CUSCO_WANCHAQ,0.68,75.30,80.41,13.15,1199.40
CUSCO_ESPINAR_ALTO PICHIGUA,0.30,63.59,43.25,4.91,358.40
CUSCO_ESPINAR_CONDOROMA,0.34,67.09,41.46,6.16,408.20
CUSCO_ESPINAR_COPORAQUE,0.22,67.44,30.34,4.43,188.70
CUSCO_ESPINAR_ESPINAR,0.46,67.47,64.15,8.19,657.70
CUSCO_ESPINAR_OCORURO,0.30,67.11,36.44,5.34,342.00
CUSCO_ESPINAR_PALLPATA,0.27,65.47,37.34,5.65,250.30
CUSCO_ESPINAR_PICHIGUA,0.35,65.61,55.44,5.91,436.20
CUSCO_ESPINAR_SUYCKUTAMBO,0.27,70.63,35.80,4.39,272.20
CUSCO_LA CONVENCION_ECHARATE,0.34,75.22,27.68,6.21,428.40
CUSCO_LA CONVENCION_HUAYOPATA,0.45,75.29,55.57,7.18,616.80
CUSCO_LA CONVENCION_KIMBIRI,0.30,71.68,26.28,5.81,358.30
CUSCO_LA CONVENCION_MARANURA,0.39,77.41,54.30,7.01,423.50
CUSCO_LA CONVENCION_OCOBAMBA,0.26,69.33,38.22,6.06,198.60
CUSCO_LA CONVENCION_PICHARI,0.32,74.36,25.23,6.38,386.70
CUSCO_LA CONVENCION_QUELLOUNO,0.29,72.58,32.17,5.92,291.00
CUSCO_LA CONVENCION_SANTA ANA,0.52,76.04,63.60,9.33,724.50
CUSCO_LA CONVENCION_SANTA TERESA,0.35,75.11,41.90,6.55,366.10
CUSCO_LA CONVENCION_VILCABAMBA,0.25,74.82,37.23,5.91,181.30
CUSCO_PARURO_ACCHA,0.25,58.75,34.54,5.07,288.70
CUSCO_PARURO_CCAPI,0.17,63.30,19.79,4.53,129.20
CUSCO_PARURO_COLCHA,0.22,61.88,43.50,4.56,174.70
CUSCO_PARURO_HUANOQUITE,0.16,63.40,33.55,3.66,114.60
CUSCO_PARURO_OMACHA,0.16,62.80,17.41,4.21,134.20
CUSCO_PARURO_PACCARITAMBO,0.18,61.81,21.10,3.75,173.40
CUSCO_PARURO_PARURO,0.31,62.77,51.38,6.18,329.30
CUSCO_PARURO_PILLPINTO,0.18,65.07,23.29,4.58,138.80
CUSCO_PARURO_YAURISQUE,0.24,62.02,36.89,4.75,225.10
CUSCO_PAUCARTAMBO_CAICAY,0.19,62.06,16.22,3.94,205.30
CUSCO_PAUCARTAMBO_CHALLABAMBA,0.16,58.34,25.47,3.39,149.70
CUSCO_PAUCARTAMBO_COLQUEPATA,0.14,65.03,12.16,3.30,116.00
CUSCO_PAUCARTAMBO_HUANCARANI,0.18,66.16,36.69,3.93,125.10
CUSCO_PAUCARTAMBO_KOSNIPATA,0.26,61.75,25.38,6.20,275.10
CUSCO_PAUCARTAMBO_PAUCARTAMBO,0.18,58.22,18.19,4.05,187.70
CUSCO_QUISPICANCHI_ANDAHUAYLILLAS,0.39,61.78,63.32,7.14,525.80
CUSCO_QUISPICANCHI_CAMANTI,0.38,55.56,35.55,7.91,706.40
CUSCO_QUISPICANCHI_CCARHUAYO,0.13,60.96,13.33,3.40,116.80
CUSCO_QUISPICANCHI_CCATCA,0.17,69.15,17.99,3.82,138.70
CUSCO_QUISPICANCHI_CUSIPATA,0.21,60.15,38.20,5.06,163.90
CUSCO_QUISPICANCHI_HUARO,0.36,64.83,57.72,7.24,408.70
CUSCO_QUISPICANCHI_LUCRE,0.35,58.68,44.27,7.17,512.00
CUSCO_QUISPICANCHI_MARCAPATA,0.17,61.80,17.40,4.35,147.90
CUSCO_QUISPICANCHI_OCONGATE,0.24,65.59,30.48,4.40,246.80
CUSCO_QUISPICANCHI_OROPESA,0.43,62.86,58.52,7.64,663.10
CUSCO_QUISPICANCHI_QUIQUIJANA,0.19,68.30,25.16,4.01,158.30
CUSCO_QUISPICANCHI_URCOS,0.41,63.95,63.27,7.03,565.50
CUSCO_URUBAMBA_CHINCHERO,0.32,75.32,51.44,6.40,265.70
CUSCO_URUBAMBA_HUAYLLABAMBA,0.38,73.10,49.57,7.59,404.00
CUSCO_URUBAMBA_MACHUPICCHU,0.60,77.75,70.21,10.82,924.40
CUSCO_URUBAMBA_MARAS,0.29,72.91,50.63,5.45,241.00
CUSCO_URUBAMBA_OLLANTAYTAMBO,0.35,71.64,40.87,6.25,399.00
CUSCO_URUBAMBA_URUBAMBA,0.54,76.93,60.16,9.00,825.20
CUSCO_URUBAMBA_YUCAY,0.59,77.34,70.91,10.02,952.70
HUANCAVELICA_ACOBAMBA_ACOBAMBA,0.36,70.39,45.18,7.02,403.50
HUANCAVELICA_ACOBAMBA_ANDABAMBA,0.18,69.04,25.88,4.74,114.80
HUANCAVELICA_ACOBAMBA_ANTA,0.16,70.67,22.44,3.91,101.00
HUANCAVELICA_ACOBAMBA_CAJA,0.32,71.67,34.62,5.34,388.80
HUANCAVELICA_ACOBAMBA_MARCAS,0.24,74.67,27.81,5.11,202.60
HUANCAVELICA_ACOBAMBA_PAUCARA,0.23,72.51,39.79,5.20,158.90
HUANCAVELICA_ACOBAMBA_POMACOCHA,0.33,73.03,50.00,6.11,329.80
HUANCAVELICA_ACOBAMBA_ROSARIO,0.18,70.96,27.78,3.86,129.70
HUANCAVELICA_ANGARAES_ANCHONGA,0.17,71.56,42.74,3.59,102.10
HUANCAVELICA_ANGARAES_CALLANMARCA,0.25,75.57,40.07,4.09,217.10
HUANCAVELICA_ANGARAES_CCOCHACCASA,0.31,64.35,32.85,5.66,396.70
HUANCAVELICA_ANGARAES_CHINCHO,0.23,69.49,26.95,5.65,181.50
HUANCAVELICA_ANGARAES_CONGALLA,0.17,66.33,39.42,4.08,102.70
HUANCAVELICA_ANGARAES_HUANCA-HUANCA,0.19,67.49,23.85,4.02,151.70
HUANCAVELICA_ANGARAES_HUAYLLAY GRANDE,0.22,68.18,40.49,3.91,185.60
HUANCAVELICA_ANGARAES_JULCAMARCA,0.40,70.13,62.50,8.14,432.50
HUANCAVELICA_ANGARAES_LIRCAY,0.29,67.94,38.05,5.32,298.30
HUANCAVELICA_ANGARAES_SAN ANTONIO DE ANTAPARCO,0.21,70.51,60.00,6.43,101.70
HUANCAVELICA_ANGARAES_SANTO TOMAS DE PATA,0.32,68.76,50.00,5.73,331.00
HUANCAVELICA_ANGARAES_SECCLLA,0.24,70.64,34.58,5.32,185.40
HUANCAVELICA_CASTROVIRREYNA_ARMA,0.23,64.90,35.34,5.56,178.70
HUANCAVELICA_CASTROVIRREYNA_AURAHUA,0.24,59.80,38.50,7.12,184.60
HUANCAVELICA_CASTROVIRREYNA_CAPILLAS,0.29,57.69,44.44,6.99,322.60
HUANCAVELICA_CASTROVIRREYNA_CASTROVIRREYNA,0.32,59.81,38.65,6.78,420.60
HUANCAVELICA_CASTROVIRREYNA_CHUPAMARCA,0.29,68.17,42.86,6.76,245.00
HUANCAVELICA_CASTROVIRREYNA_COCAS,0.27,59.00,45.45,6.01,265.60
HUANCAVELICA_CASTROVIRREYNA_HUACHOS,0.36,61.34,53.13,8.11,410.50
HUANCAVELICA_CASTROVIRREYNA_HUAMATAMBO,0.17,55.33,0.52,6.82,546.80
HUANCAVELICA_CASTROVIRREYNA_MOLLEPAMPA,0.27,60.44,33.36,6.14,282.10
HUANCAVELICA_CASTROVIRREYNA_SAN JUAN,0.30,54.83,50.00,6.56,365.00
HUANCAVELICA_CASTROVIRREYNA_SANTA ANA,0.59,63.64,66.67,9.08,1347.40
HUANCAVELICA_CASTROVIRREYNA_TANTARA,0.35,64.54,42.86,8.09,396.80
HUANCAVELICA_CASTROVIRREYNA_TICRAPO,0.38,64.07,29.63,7.80,605.20
HUANCAVELICA_CHURCAMPA_ANCO,0.19,64.27,27.00,3.70,174.00
HUANCAVELICA_CHURCAMPA_CHINCHIHUASI,0.24,58.63,39.34,4.75,236.40
HUANCAVELICA_CHURCAMPA_CHURCAMPA,0.33,64.10,32.55,6.07,477.80
HUANCAVELICA_CHURCAMPA_EL CARMEN,0.16,59.51,12.89,4.43,156.10
HUANCAVELICA_CHURCAMPA_LA MERCED,0.29,67.32,45.00,6.50,258.90
HUANCAVELICA_CHURCAMPA_LOCROJA,0.24,65.32,31.76,4.67,231.10
HUANCAVELICA_CHURCAMPA_PACHAMARCA,0.26,64.52,23.85,4.37,350.60
HUANCAVELICA_CHURCAMPA_PAUCARBAMBA,0.20,59.01,44.34,4.53,152.10
HUANCAVELICA_CHURCAMPA_SAN MIGUEL DE MAYOCC,0.40,71.23,45.00,8.00,490.60
HUANCAVELICA_CHURCAMPA_SAN PEDRO DE CORIS,0.40,61.91,37.10,7.46,717.50
HUANCAVELICA_HUANCAVELICA_ACOBAMBILLA,0.26,52.19,66.67,7.42,219.40
HUANCAVELICA_HUANCAVELICA_ACORIA,0.20,62.38,32.92,4.62,158.70
HUANCAVELICA_HUANCAVELICA_ASCENSION,0.52,68.54,64.32,9.67,851.40
HUANCAVELICA_HUANCAVELICA_CONAYCA,0.21,61.35,17.11,5.47,205.80
HUANCAVELICA_HUANCAVELICA_CUENCA,0.14,61.24,16.82,4.03,102.40
HUANCAVELICA_HUANCAVELICA_HUACHOCOLPA,0.38,64.09,25.34,7.22,706.40
HUANCAVELICA_HUANCAVELICA_HUANCAVELICA,0.51,62.30,73.73,10.48,833.20
HUANCAVELICA_HUANCAVELICA_HUANDO,0.19,64.80,23.56,4.77,145.80
HUANCAVELICA_HUANCAVELICA_HUAYLLAHUARA,0.20,58.98,42.86,5.64,144.20
HUANCAVELICA_HUANCAVELICA_IZCUCHACA,0.29,56.85,28.06,7.94,375.60
HUANCAVELICA_HUANCAVELICA_LARIA,0.24,59.57,60.00,5.64,179.10
HUANCAVELICA_HUANCAVELICA_MANTA,0.27,60.91,45.95,6.15,256.10
HUANCAVELICA_HUANCAVELICA_MARISCAL CACERES,0.24,58.17,50.00,6.53,189.90
HUANCAVELICA_HUANCAVELICA_MOYA,0.25,57.98,40.93,6.99,219.50
HUANCAVELICA_HUANCAVELICA_NUEVO OCCORO,0.20,61.59,41.52,5.24,142.00
HUANCAVELICA_HUANCAVELICA_PALCA,0.25,61.54,54.02,5.40,204.40
HUANCAVELICA_HUANCAVELICA_PILCHACA,0.28,59.39,40.07,5.81,322.00
HUANCAVELICA_HUANCAVELICA_VILCA,0.23,59.06,40.92,5.93,192.30
HUANCAVELICA_HUANCAVELICA_YAULI,0.17,59.96,27.84,4.55,117.60
HUANCAVELICA_HUAYTARA_AYAVI,0.35,63.27,81.25,7.33,332.70
HUANCAVELICA_HUAYTARA_CORDOVA,0.46,63.12,36.70,8.60,940.30
HUANCAVELICA_HUAYTARA_HUAYACUNDO ARMA,0.36,67.99,55.56,7.44,371.30
HUANCAVELICA_HUAYTARA_HUAYTARA,0.48,69.12,62.50,8.71,686.40
HUANCAVELICA_HUAYTARA_LARAMARCA,0.39,66.46,50.00,6.83,526.80
HUANCAVELICA_HUAYTARA_OCOYO,0.37,62.64,15.48,7.38,820.70
HUANCAVELICA_HUAYTARA_PILPICHACA,0.24,69.61,15.67,5.06,282.20
HUANCAVELICA_HUAYTARA_QUERCO,0.26,62.60,30.25,6.16,254.30
HUANCAVELICA_HUAYTARA_QUITO-ARMA,0.28,62.22,16.81,5.93,420.60
HUANCAVELICA_HUAYTARA_SAN ANTONIO DE CUSICANCHA,0.23,66.65,19.32,5.02,243.90
HUANCAVELICA_HUAYTARA_SAN FRANCISCO DE SANGAYAICO,0.31,67.16,36.46,6.63,344.10
HUANCAVELICA_HUAYTARA_SAN ISIDRO,0.26,60.12,59.09,6.69,203.90
HUANCAVELICA_HUAYTARA_SANTIAGO DE CHOCORVOS,0.30,60.75,39.56,5.79,362.30
HUANCAVELICA_HUAYTARA_SANTIAGO DE QUIRAHUARA,0.30,64.28,45.45,5.87,304.20
HUANCAVELICA_HUAYTARA_SANTO DOMINGO DE CAPILLAS,0.23,59.75,40.02,6.64,169.70
HUANCAVELICA_HUAYTARA_TAMBO,0.32,58.84,42.86,6.52,431.90
HUANCAVELICA_TAYACAJA_ACOSTAMBO,0.28,71.82,29.07,4.92,308.20
HUANCAVELICA_TAYACAJA_ACRAQUIA,0.34,69.21,51.72,5.14,408.90
HUANCAVELICA_TAYACAJA_AHUAYCHA,0.23,65.85,42.71,5.16,181.00
HUANCAVELICA_TAYACAJA_COLCABAMBA,0.30,65.50,30.19,4.29,451.70
HUANCAVELICA_TAYACAJA_DANIEL HERNANDEZ,0.32,67.91,40.86,5.50,383.00
HUANCAVELICA_TAYACAJA_HUACHOCOLPA,0.20,63.90,48.62,6.37,117.00
HUANCAVELICA_TAYACAJA_HUARIBAMBA,0.24,72.88,29.24,4.39,214.30
HUANCAVELICA_TAYACAJA_NAHUIMPUQUIO,0.42,71.25,34.67,5.07,849.90
HUANCAVELICA_TAYACAJA_PAMPAS,0.37,69.13,44.68,7.53,449.00
HUANCAVELICA_TAYACAJA_PAZOS,0.21,72.73,41.97,5.11,127.40
HUANCAVELICA_TAYACAJA_QUISHUAR,0.23,73.53,44.44,4.47,170.20
HUANCAVELICA_TAYACAJA_SALCABAMBA,0.23,70.42,23.75,4.58,208.00
HUANCAVELICA_TAYACAJA_SALCAHUASI,0.21,61.80,32.82,4.62,177.70
HUANCAVELICA_TAYACAJA_SAN MARCOS DE ROCCHAC,0.19,67.89,51.85,4.93,102.80
HUANCAVELICA_TAYACAJA_SURCUBAMBA,0.25,62.94,27.16,4.93,294.70
HUANCAVELICA_TAYACAJA_TINTAY PUNCU,0.17,64.16,27.70,5.07,102.60
HUANUCO_AMBO_AMBO,0.38,71.25,52.54,6.24,476.50
HUANUCO_AMBO_CAYNA,0.24,76.29,30.93,4.53,193.00
HUANUCO_AMBO_COLPAS,0.22,76.64,17.90,3.98,207.70
HUANUCO_AMBO_CONCHAMARCA,0.29,74.67,26.37,4.89,338.30
HUANUCO_AMBO_HUACAR,0.24,76.31,16.15,4.22,275.20
HUANUCO_AMBO_SAN FRANCISCO,0.23,75.06,34.88,4.35,183.70
HUANUCO_AMBO_SAN RAFAEL,0.24,73.01,22.21,4.18,263.70
HUANUCO_AMBO_TOMAY KICHWA,0.41,72.27,55.00,6.93,514.10
HUANUCO_DOS DE MAYO_CHUQUIS,0.22,69.37,20.44,4.61,213.40
HUANUCO_DOS DE MAYO_LA UNION,0.43,64.51,41.38,9.32,670.10
HUANUCO_DOS DE MAYO_MARIAS,0.20,67.83,13.45,4.04,231.20
HUANUCO_DOS DE MAYO_PACHAS,0.29,66.40,27.51,5.55,370.60
HUANUCO_DOS DE MAYO_QUIVILLA,0.32,66.38,37.69,6.68,347.20
HUANUCO_DOS DE MAYO_RIPAN,0.29,67.48,33.34,6.22,302.90
HUANUCO_DOS DE MAYO_SHUNQUI,0.21,69.75,19.87,4.93,172.10
HUANUCO_DOS DE MAYO_SILLAPATA,0.19,67.72,10.04,4.68,201.50
HUANUCO_DOS DE MAYO_YANAS,0.18,69.40,11.99,4.46,162.80
HUANUCO_HUACAYBAMBA_CANCHABAMBA,0.24,77.19,24.20,4.45,212.30
HUANUCO_HUACAYBAMBA_COCHABAMBA,0.27,72.63,16.95,5.70,304.80
HUANUCO_HUACAYBAMBA_HUACAYBAMBA,0.25,73.44,14.28,5.37,274.90
HUANUCO_HUACAYBAMBA_PINRA,0.22,76.84,12.80,4.19,247.60
HUANUCO_HUAMALIES_ARANCAY,0.20,72.92,3.77,5.32,303.30
HUANUCO_HUAMALIES_CHAVIN DE PARIARCA,0.27,76.30,17.21,4.90,313.70
HUANUCO_HUAMALIES_JACAS GRANDE,0.26,77.70,16.11,4.72,293.40
HUANUCO_HUAMALIES_JIRCAN,0.21,71.74,7.58,4.17,308.90
HUANUCO_HUAMALIES_LLATA,0.31,70.46,31.05,6.50,350.80
HUANUCO_HUAMALIES_MIRAFLORES,0.17,79.15,6.85,4.00,174.40
HUANUCO_HUAMALIES_MONZON,0.33,71.09,32.67,6.13,391.20
HUANUCO_HUAMALIES_PUNCHAO,0.29,76.51,33.76,5.42,266.30
HUANUCO_HUAMALIES_PUNOS,0.20,76.51,15.40,4.45,174.90
HUANUCO_HUAMALIES_SINGA,0.24,75.06,14.34,4.98,271.30
HUANUCO_HUAMALIES_TANTAMAYO,0.20,75.08,6.26,4.96,249.80
HUANUCO_HUANUCO_AMARILIS,0.54,73.30,73.50,9.66,809.40
HUANUCO_HUANUCO_CHINCHAO,0.23,75.75,15.32,3.64,286.00
HUANUCO_HUANUCO_CHURUBAMBA,0.17,77.23,11.75,2.38,246.40
HUANUCO_HUANUCO_HUANUCO,0.53,70.76,69.02,10.30,793.10
HUANUCO_HUANUCO_MARGOS,0.26,78.38,32.66,5.14,211.90
HUANUCO_HUANUCO_PILLCO MARCA,0.53,73.12,68.64,9.20,808.60
HUANUCO_HUANUCO_QUISQUI,0.25,75.72,26.83,4.09,245.20
HUANUCO_HUANUCO_SAN FRANCISCO DE CAYRAN,0.27,74.81,23.40,4.66,292.20
HUANUCO_HUANUCO_SAN PEDRO DE CHAULAN,0.18,78.75,11.53,3.52,162.40
HUANUCO_HUANUCO_SANTA MARIA DEL VALLE,0.21,78.63,15.99,3.13,233.30
HUANUCO_HUANUCO_YARUMAYO,0.29,76.38,31.98,4.87,291.10
HUANUCO_LAURICOCHA_BANOS,0.32,67.38,35.36,6.98,367.80
HUANUCO_LAURICOCHA_JESUS,0.35,69.69,39.78,7.42,408.10
HUANUCO_LAURICOCHA_JIVIA,0.34,71.38,59.26,7.74,286.40
HUANUCO_LAURICOCHA_QUEROPALCA,0.43,70.88,75.00,9.13,447.20
HUANUCO_LAURICOCHA_RONDOS,0.33,74.02,46.34,6.70,301.70
HUANUCO_LAURICOCHA_SAN FRANCISCO DE ASIS,0.26,74.60,45.65,5.74,189.90
HUANUCO_LAURICOCHA_SAN MIGUEL DE CAURI,0.32,68.76,33.16,7.06,361.20
HUANUCO_LEONCIO PRADO_DANIEL ALOMIA ROBLES,0.27,74.12,26.62,4.94,286.90
HUANUCO_LEONCIO PRADO_HERMILIO VALDIZAN,0.22,73.01,18.40,4.68,202.70
HUANUCO_LEONCIO PRADO_JOSE CRESPO Y CASTILLO,0.36,71.65,38.14,6.30,469.30
HUANUCO_LEONCIO PRADO_LUYANDO,0.32,72.69,34.93,5.79,363.70
