DepaProvDIST,idh,esperanza,secundaria,tiempoedu,percapitaf
ANCASH_CORONGO_YUPAN,0.46,72.17,87.50,8.06,519.60
ANCASH_HUARAZ_COCHABAMBA,0.24,68.86,40.79,3.83,239.80
ANCASH_HUARAZ_COLCABAMBA,0.36,70.59,63.16,7.41,330.90
ANCASH_HUARAZ_HUANCHAY,0.25,69.41,14.38,6.55,276.90
ANCASH_HUARAZ_HUARAZ,0.53,72.64,74.34,10.57,733.50
ANCASH_HUARAZ_INDEPENDENCIA,0.50,73.73,72.83,9.59,633.20
ANCASH_HUARAZ_JANGAS,0.34,77.14,48.73,5.85,333.50
ANCASH_HUARAZ_LA LIBERTAD,0.22,69.89,48.03,4.97,143.50
ANCASH_HUARAZ_OLLEROS,0.28,73.04,44.83,5.54,226.60
ANCASH_HUARAZ_PAMPAS,0.29,68.88,31.37,7.13,273.60
ANCASH_HUARAZ_PARIACOTO,0.27,71.91,34.62,5.51,246.00
ANCASH_HUARAZ_PIRA,0.25,74.75,31.72,4.69,215.30
ANCASH_HUARAZ_TARICA,0.37,75.13,50.44,6.30,422.50
ANCASH_HUARI_ANRA,0.26,70.27,42.90,5.28,206.10
ANCASH_HUARI_CAJAY,0.26,74.82,45.49,4.47,205.20
ANCASH_HUARI_CHAVIN DE HUANTAR,0.22,74.22,26.01,4.68,183.00
ANCASH_HUARI_HUACACHI,0.26,74.08,29.43,5.38,234.10
ANCASH_HUARI_HUACCHIS,0.22,71.81,38.42,6.16,136.90
ANCASH_HUARI_HUACHIS,0.19,74.77,42.05,4.77,108.50
ANCASH_HUARI_HUANTAR,0.30,75.33,58.06,5.10,250.70
ANCASH_HUARI_HUARI,0.41,73.44,72.49,7.80,404.00
ANCASH_HUARI_MASIN,0.33,75.86,44.52,5.60,344.20
ANCASH_HUARI_PAUCAS,0.27,72.07,30.61,6.92,213.80
ANCASH_HUARI_PONTO,0.24,72.41,42.90,5.35,159.90
ANCASH_HUARI_RAHUAPAMPA,0.42,74.11,90.00,8.50,384.90
ANCASH_HUARI_RAPAYAN,0.27,70.25,50.05,6.06,198.00
ANCASH_HUARI_SAN MARCOS,0.37,73.63,33.98,7.73,446.50
ANCASH_HUARI_SAN PEDRO DE CHANA,0.22,73.41,29.77,5.72,150.10
ANCASH_HUARI_UCO,0.31,73.00,36.72,6.66,288.10
ANCASH_HUARMEY_COCHAPETI,0.32,78.04,44.50,6.85,254.50
ANCASH_HUARMEY_CULEBRAS,0.41,76.54,42.49,7.59,496.90
ANCASH_HUARMEY_HUARMEY,0.53,77.95,68.75,9.58,721.60
ANCASH_HUARMEY_HUAYAN,0.39,76.54,53.35,7.08,410.00
ANCASH_HUARMEY_MALVAS,0.32,75.06,41.74,8.01,258.40
ANCASH_HUAYLAS_CARAZ,0.40,77.61,35.98,7.39,525.80
ANCASH_HUAYLAS_HUALLANCA,0.42,75.94,38.57,8.05,546.50
ANCASH_HUAYLAS_HUATA,0.28,76.53,36.15,5.16,249.70
ANCASH_HUAYLAS_HUAYLAS,0.26,73.91,22.03,5.68,246.80
ANCASH_HUAYLAS_MATO,0.26,80.13,15.69,5.01,279.40
ANCASH_HUAYLAS_PAMPAROMAS,0.18,78.90,16.56,3.40,147.50
ANCASH_HUAYLAS_PUEBLO LIBRE,0.22,79.02,17.42,3.47,251.50
ANCASH_HUAYLAS_SANTA CRUZ,0.19,79.18,14.00,3.49,189.10
ANCASH_HUAYLAS_SANTO TORIBIO,0.31,76.13,40.79,5.63,289.20
ANCASH_HUAYLAS_YURACMARCA,0.22,75.99,8.19,5.19,252.60
ANCASH_MARISCAL LUZURIAGA_CASCA,0.23,72.99,43.91,4.90,162.10
ANCASH_MARISCAL LUZURIAGA_ELEAZAR GUZMAN BARRON,0.17,70.68,4.46,4.28,208.60
ANCASH_MARISCAL LUZURIAGA_FIDEL OLIVAS ESCUDERO,0.19,70.08,25.62,4.36,146.00
