"","regionUbigeo","provinciaUbigeo","PROVINCIA","IDE","identidad","salud","educacion","saneamiento","electrificacion","poblacion","costa","capital","tamano","clustDIV"
"143",160000,160600,"UCAYALI",0.5572,90.6369,4.5009,71.0551,33.5148,75.8978,70782,"NO","NO","Pequena",2
"144",160000,160700,"DATEM DEL MARANON",0.4295,81.9682,4.7538,44.0338,32.0778,48.7369,59620,"NO","NO","Pequena",3
"145",170000,170100,"TAMBOPATA",0.8027,99.2041,26.2887,86.1364,84.2227,87.9527,91988,"NO","SI","Pequena",1
"146",170000,170200,"MANU",0.5941,93.5355,12.1582,81.1164,37.0703,65.0632,22906,"NO","NO","Muy pequena",2
"147",170000,170300,"TAHUAMANU",0.7263,99.5,27.4945,82.3381,56.4859,79.0064,12745,"NO","NO","Muy pequena",1
"148",180000,180100,"MARISCAL NIETO",0.8263,99.4366,26.9476,94.0548,80.8463,93.9171,78890,"NO","SI","Pequena",1
"149",180000,180200,"GENERAL SANCHEZ CERRO",0.6417,98.8706,13.2708,86.5558,38.3928,74.9002,27275,"NO","NO","Muy pequena",2
"150",180000,180300,"ILO",0.8504,99.5,21.2476,91.3031,99.5,99.5,68694,"SI","NO","Pequena",1
"151",190000,190100,"PASCO",0.7169,99.5,10.7282,94.3146,58.5859,88.1771,156259,"NO","SI","Mediana",1
"152",190000,190200,"DANIEL ALCIDES CARRION",0.6271,99.5,4.6297,95.0075,41.9339,69.4167,51789,"NO","NO","Pequena",2
"153",190000,190300,"OXAPAMPA",0.5744,94.7617,12.5667,65.4202,42.7355,63.3166,89543,"NO","NO","Pequena",2
"154",200000,200100,"PIURA",0.7426,98.5621,15.3145,89.086,77.9517,80.1926,734437,"SI","SI","Grande",1
"155",200000,200200,"AYABACA",0.5102,94.8213,3.6732,60.0579,51.9557,42.1461,141708,"NO","NO","Mediana",3
"156",200000,200300,"HUANCABAMBA",0.5334,94.1863,5.6703,65.4099,56.4812,41.1786,127423,"NO","NO","Mediana",3
"157",200000,200400,"MORROPON",0.6653,97.1181,7.3392,80.9296,67.5797,74.8067,159486,"NO","NO","Mediana",1
"158",200000,200500,"PAITA",0.7154,99.2638,6.7769,85.3579,76.5216,85.2715,122725,"SI","NO","Mediana",1
"159",200000,200600,"SULLANA",0.7548,97.9271,12.9206,91.7215,78.0363,88.1845,309605,"NO","NO","Grande",1
"160",200000,200700,"TALARA",0.8082,99.0036,17.2074,97.9404,84.5123,93.9844,133148,"SI","NO","Mediana",1
"161",200000,200800,"SECHURA",0.6745,97.9712,5.9599,79.84,72.387,77.137,71075,"NO","NO","Pequena",1
"162",210000,210100,"PUNO",0.7483,98.9834,18.5388,93.596,64.1132,86.5741,244692,"NO","SI","Mediana",1
"163",210000,210200,"AZANGARO",0.5716,98.7557,2.9063,81.044,39.6135,61.5461,139092,"NO","NO","Mediana",2
"164",210000,210300,"CARABAYA",0.6022,98.2289,4.6188,74.6275,52.4479,68.1171,87812,"NO","NO","Pequena",2
"165",210000,210400,"CHUCUITO",0.6036,98.6818,3.6953,88.2616,37.3401,71.3466,142711,"NO","NO","Mediana",2
"166",210000,210500,"EL COLLAO",0.6141,99.407,4.2362,92.492,34.7087,73.3596,84865,"NO","NO","Pequena",2
"167",210000,210600,"HUANCANE",0.5866,98.59,6.42,86.7475,33.66,63.5913,67726,"NO","NO","Pequena",2
"168",210000,210700,"LAMPA",0.5839,99.3094,5.6917,83.7246,39.5906,59.8291,51039,"NO","NO","Pequena",2
"169",210000,210800,"MELGAR",0.6322,99.0987,6.044,81.0894,60.8358,65.0074,77355,"NO","NO","Pequena",2
"170",210000,210900,"MOHO",0.6098,98.1119,2.598,83.4812,45.2047,73.7554,26799,"NO","NO","Muy pequena",2
"171",210000,211000,"SAN ANTONIO DE PUTINA",0.5691,98.8164,2.64,88.4295,29.5768,63.3287,62247,"NO","NO","Pequena",2
"172",210000,211100,"SAN ROMAN",0.7813,99.0267,15.507,94.0194,72.2405,99.5,276352,"NO","NO","Mediana",1
"173",210000,211200,"SANDIA",0.6152,98.5936,6.4219,84.2576,50.2309,63.8324,68253,"NO","NO","Pequena",2
"174",210000,211300,"YUNGUYO",0.6807,98.3785,6.8712,87.114,52.7099,90.6861,48179,"NO","NO","Muy pequena",1
"175",220000,220100,"MOYOBAMBA",0.6832,95.7572,9.9368,83.2734,72.5388,73.4589,136414,"NO","SI","Mediana",1
"176",220000,220200,"BELLAVISTA",0.6256,94.1988,7.979,76.7049,59.9836,68.6068,55815,"NO","NO","Pequena",2
